1,167,344,194,23,03-03-2020 10:11:00,03-03-2020 13:50:00
2,91,347,112,391,03-03-2020 09:11:00,03-03-2020 13:19:00
3,210,120,323,367,03-03-2020 10:12:00,03-03-2020 12:52:00
4,85,203,208,242,03-03-2020 10:12:00,03-03-2020 13:07:00
5,292,207,252,174,03-03-2020 11:12:00,03-03-2020 11:36:00
6,225,378,382,224,03-03-2020 11:12:00,03-03-2020 11:31:00
7,135,130,156,219,03-03-2020 11:13:00,03-03-2020 12:51:00
8,263,182,31,169,03-03-2020 10:11:00,03-03-2020 12:03:00
9,184,211,385,180,03-03-2020 09:11:00,03-03-2020 12:26:00
10,59,194,191,76,03-03-2020 10:12:00,03-03-2020 13:09:00
11,145,263,31,281,03-03-2020 11:12:00,03-03-2020 12:54:00
12,284,381,128,172,03-03-2020 09:10:00,03-03-2020 11:08:00
13,260,313,115,378,03-03-2020 09:11:00,03-03-2020 13:03:00
14,392,84,213,183,03-03-2020 11:13:00,03-03-2020 13:06:00
15,170,112,126,66,03-03-2020 11:12:00,03-03-2020 12:07:00
16,156,168,116,330,03-03-2020 09:11:00,03-03-2020 12:18:00
17,108,139,342,289,03-03-2020 09:10:00,03-03-2020 12:29:00
18,332,202,386,162,03-03-2020 09:11:00,03-03-2020 12:09:00
19,66,92,358,162,03-03-2020 11:12:00,03-03-2020 12:39:00
20,332,231,78,90,03-03-2020 10:12:00,03-03-2020 13:30:00
