1,119,343,55,302,03-03-2020 12:15:00,03-03-2020 15:25:00
2,160,246,138,335,03-03-2020 09:12:00,03-03-2020 11:01:00
3,89,317,30,114,03-03-2020 12:13:00,03-03-2020 12:40:00
4,117,15,33,204,03-03-2020 10:14:00,03-03-2020 12:13:00
5,126,184,238,389,03-03-2020 10:14:00,03-03-2020 14:43:00
6,397,117,383,62,03-03-2020 09:10:00,03-03-2020 12:43:00
7,183,187,165,62,03-03-2020 12:16:00,03-03-2020 15:49:00
8,235,384,311,332,03-03-2020 11:13:00,03-03-2020 13:11:00
9,230,176,147,281,03-03-2020 12:13:00,03-03-2020 14:12:00
10,91,201,220,381,03-03-2020 12:14:00,03-03-2020 15:16:00
11,314,209,179,370,03-03-2020 10:11:00,03-03-2020 14:50:00
12,184,175,251,105,03-03-2020 13:17:00,03-03-2020 14:43:00
13,313,397,249,352,03-03-2020 11:14:00,03-03-2020 15:54:00
14,81,338,169,79,03-03-2020 10:12:00,03-03-2020 14:06:00
15,212,66,115,81,03-03-2020 12:14:00,03-03-2020 14:29:00
16,228,296,309,293,03-03-2020 12:14:00,03-03-2020 14:47:00
17,337,173,180,375,03-03-2020 10:12:00,03-03-2020 13:45:00
18,177,249,370,316,03-03-2020 10:12:00,03-03-2020 15:47:00
19,175,166,146,220,03-03-2020 12:15:00,03-03-2020 15:53:00
20,379,234,293,280,03-03-2020 12:15:00,03-03-2020 12:55:00
