1,129,95,251,280,03-03-2020 11:13:00,03-03-2020 12:18:00
2,352,358,254,320,03-03-2020 10:12:00,03-03-2020 12:06:00
3,266,129,95,262,03-03-2020 10:12:00,03-03-2020 13:25:00
4,61,284,61,167,03-03-2020 11:13:00,03-03-2020 11:25:00
5,323,376,274,159,03-03-2020 09:10:00,03-03-2020 13:33:00
6,352,362,194,220,03-03-2020 11:13:00,03-03-2020 13:30:00
7,360,187,208,137,03-03-2020 09:11:00,03-03-2020 11:52:00
8,229,42,69,119,03-03-2020 10:12:00,03-03-2020 12:36:00
9,185,178,305,101,03-03-2020 09:11:00,03-03-2020 11:54:00
10,56,376,89,165,03-03-2020 09:11:00,03-03-2020 11:16:00
11,329,301,398,362,03-03-2020 11:13:00,03-03-2020 12:17:00
12,190,131,332,363,03-03-2020 09:10:00,03-03-2020 11:11:00
13,35,374,332,294,03-03-2020 10:11:00,03-03-2020 12:11:00
14,267,222,200,126,03-03-2020 10:11:00,03-03-2020 11:44:00
15,101,309,301,370,03-03-2020 11:12:00,03-03-2020 11:33:00
16,383,302,372,20,03-03-2020 11:12:00,03-03-2020 13:10:00
17,244,385,385,379,03-03-2020 09:11:00,03-03-2020 12:43:00
18,74,307,207,382,03-03-2020 11:12:00,03-03-2020 13:45:00
19,268,283,344,138,03-03-2020 09:11:00,03-03-2020 11:02:00
20,308,194,168,152,03-03-2020 11:13:00,03-03-2020 13:02:00
21,28,199,206,282,03-03-2020 09:11:00,03-03-2020 11:08:00
22,379,367,399,242,03-03-2020 11:13:00,03-03-2020 13:52:00
23,291,391,252,375,03-03-2020 10:11:00,03-03-2020 12:38:00
24,351,48,239,163,03-03-2020 09:11:00,03-03-2020 11:31:00
25,306,220,219,67,03-03-2020 11:12:00,03-03-2020 12:44:00
26,285,27,396,212,03-03-2020 10:12:00,03-03-2020 11:14:00
27,372,222,310,143,03-03-2020 09:11:00,03-03-2020 11:29:00
28,18,293,159,354,03-03-2020 10:11:00,03-03-2020 12:56:00
29,156,243,260,281,03-03-2020 10:11:00,03-03-2020 11:40:00
30,240,140,41,122,03-03-2020 09:10:00,03-03-2020 11:26:00
31,152,136,57,61,03-03-2020 09:11:00,03-03-2020 13:29:00
32,292,313,286,234,03-03-2020 09:10:00,03-03-2020 12:10:00
33,309,28,218,51,03-03-2020 10:11:00,03-03-2020 11:52:00
34,305,125,243,321,03-03-2020 11:13:00,03-03-2020 12:35:00
35,201,165,52,208,03-03-2020 10:12:00,03-03-2020 11:07:00
36,27,168,55,343,03-03-2020 10:12:00,03-03-2020 11:48:00
37,180,286,309,188,03-03-2020 10:12:00,03-03-2020 12:11:00
38,396,32,176,196,03-03-2020 10:11:00,03-03-2020 13:14:00
39,257,223,315,346,03-03-2020 09:10:00,03-03-2020 11:31:00
40,75,168,16,84,03-03-2020 09:11:00,03-03-2020 12:10:00
41,260,221,274,64,03-03-2020 10:11:00,03-03-2020 11:11:00
42,186,375,112,356,03-03-2020 10:12:00,03-03-2020 12:29:00
43,240,259,143,293,03-03-2020 10:11:00,03-03-2020 11:25:00
44,385,367,323,170,03-03-2020 09:11:00,03-03-2020 11:26:00
45,332,109,84,33,03-03-2020 09:11:00,03-03-2020 11:27:00
46,353,323,295,368,03-03-2020 11:12:00,03-03-2020 11:58:00
47,225,298,288,11,03-03-2020 09:10:00,03-03-2020 13:04:00
48,131,164,187,251,03-03-2020 09:10:00,03-03-2020 13:09:00
49,98,226,174,394,03-03-2020 09:10:00,03-03-2020 12:02:00
50,275,174,359,246,03-03-2020 10:11:00,03-03-2020 11:42:00
